Name,Company,Title,Industry,LinkedIn,Innovera Contact
Mehul Bhagat,Founder,Elea Collective,Marketing / Consulting,https://www.linkedin.com/in/mehulbhagat,Daniel
Diwanshu Dave,dragdropdo,Digital Marketing Intern,Marketing / Digital Agency,https://www.linkedin.com/in/diwanshugautam,Daniel
Daniil Cherpakov,x2.agency,Director of Business Development,Marketing / Digital Agency,https://www.linkedin.com/in/dcharpaks,Daniel
Irina Chus,Freelance,Marketing Specialist,Marketing / Freelance,https://www.linkedin.com/in/irinachus,Daniel
Hesam Jafari,Buzzable,Founder,Marketing / SaaS,https://www.linkedin.com/in/hesamsmiles,Daniel
Shanker Damodaran,Mongiello Associates,CEO Editorial Director-Presidential Magazine, Partner,Marketing / Strategic Communications,https://www.linkedin.com/in/shanker-damodaran-295505209,Daniel
Justin T.,Managing Director (US office),Media Console Co., Ltd.,Media,https://www.linkedin.com/in/justin-t-941401311,Daniel
Taha Ahmed,Forbes,Senior VP Corporate Development, Strategy & Consumer Growth,Media / Corporate Strategy,https://www.linkedin.com/in/tahaahmedforbes,Daniel
Tae Lee,Advisor/Director, Co-founder,El Fuego,Media / Creative Tech,https://www.linkedin.com/in/elfuego,Daniel
David Stevens,Broaden Media,Interim CEO,Media / Digital,https://www.linkedin.com/in/david-s-a83314b,Daniel
Maya Labban,Arab Film and Media Institute,Managing Director,Media / Film,https://www.linkedin.com/in/mayalabban,Daniel
Maria Porokh,First Approval,Managing Editor,Media / Publishing,https://www.linkedin.com/in/maria-porokh,Daniel
Rostam Zafari,CEO,World Within,Media / Social Impact,https://www.linkedin.com/in/rostam-zafari-46b140289,Daniel
Mik Seliverstov,TunePocket,Founder & Managing Director,Music / SaaS,https://www.linkedin.com/in/miks,Daniel
Fady Khalil Jacob,ZPE Systems,Sales Engineer,Networking / IT Infrastructure,https://www.linkedin.com/in/fadykhalil,Daniel
Brad Garsten,Quanta Networks, LLC,CEO / Managing Director, Partnerships / Technology Advocate,Networking / Technology,https://www.linkedin.com/in/bradgarsten,Daniel
Simon Ho,Not-For-Profit Founder,Blosm,Non-Profit,https://www.linkedin.com/in/simonho888,Daniel
Loren Cardeli,Executive Director & Co-Founder,A Growing Culture,Nonprofit / Agriculture,https://www.linkedin.com/in/loren-cardeli-5754b828,Daniel
Aaron Sherinian,The Church of Jesus Christ of Latter-day Saints,Managing Director, Church Communication Department,Nonprofit / Communications,https://www.linkedin.com/in/asherinian,Daniel
Anna Deych,Tukku Magi,Director,Nonprofit / Community,https://www.linkedin.com/in/annadeych,Daniel
Maria Pokrovskaya,Global Talents Foundation,Founding Director,Nonprofit / Education,https://www.linkedin.com/in/mariapokrovskaya,Daniel
Katie Kupstas,Innovators Club for Women,Founder (Cocktails & Capital, Innovators Club for Women 501c3),Nonprofit / Entrepreneurship,https://www.linkedin.com/in/katie-kupstas-7622a943,Daniel
Benjamin Galazzo,Global Shapers Community,Alumnus & Entrepreneurship Mentor,Nonprofit / Entrepreneurship,https://www.linkedin.com/in/benjamin-galazzo-3993b012,Daniel
Rajnesh (Raj) Singh,APNIC Foundation,Chief Executive Officer,Nonprofit / Internet Governance,https://www.linkedin.com/in/rajneshsingh,Daniel
Chad Bel.,Founder,AtypicalPath.org (in development),Nonprofit / Social Impact,https://www.linkedin.com/in/chad-bel,Daniel
Fatima Ahaieva,2hearts,Community Member,Nonprofit / Social Impact,https://www.linkedin.com/in/fatima-ahaieva,Daniel
Faustino John Henry Lim,International Care Ministries,Senior Consultant,Nonprofit / Social Impact,https://www.linkedin.com/in/faustino-john-henry-lim,Daniel
Brooke Roner Zaugg,Radiant Foundation,Executive Director,Nonprofit / Social Impact,https://www.linkedin.com/in/brooke-roner-zaugg,Daniel
Audrey Russo,Pittsburgh Technology Council,President & CEO,Nonprofit / Tech Advocacy,https://www.linkedin.com/in/audreyrusso,Daniel
Marie Pelloni,Pittsburgh Technology Council,Director, Talent Attraction & STEM Development,Nonprofit / Tech Advocacy,https://www.linkedin.com/in/marie-pelloni-8820b050,Daniel
Alessandro Leonardi,Poste Italiane,Head of CO Innovation,Postal / Logistics,https://www.linkedin.com/in/alessandroleonardi,Daniel
Amanda Fraerman,EY,Senior Manager,Professional Services / Consulting,https://www.linkedin.com/in/amanda-fraerman-a3abb116,Daniel
Christopher Caen,Chief Executive Officer,Mill Pond Research,Research & Consulting,https://www.linkedin.com/in/christophercaen,Daniel
Cici Chen,Walmart,Senior Manager II, Global eCommerce,Retail / eCommerce,https://www.linkedin.com/in/cici9517,Daniel
Tamino Lokenberg,Jim Thompson,Part Owner,Retail / Fashion,https://www.linkedin.com/in/tamino-lokenberg-086699249,Daniel
Anier Velasco Sotomayor,Manychat,AI Engineer,SaaS / AI,https://www.linkedin.com/in/aniervs,Daniel
André Segovia,Buyerlink,Head of Product & AI,SaaS / AI,https://www.linkedin.com/in/andresegovia,Daniel
Veronika Kacha,Self-employed,Consultant – SaaS Sales, GTM Strategy & Partnerships, AI Avatars,SaaS / AI Consulting,https://www.linkedin.com/in/veronika-k-221862111,Daniel
Cedric Spothelfer,ConCntric,Product Manager,SaaS / Collaboration,https://www.linkedin.com/in/cedric-spothelfer,Daniel
Nate MacLeitch,QuickBlox,CEO,SaaS / Communications Platform,https://www.linkedin.com/in/nate-macleitch,Daniel
Guan Wang,Airtable,VP, Data,SaaS / Enterprise Software,https://www.linkedin.com/in/guan1wang,Daniel
Crystal (Yixuan) Li,IntelliPro,Analyst II Manager,SaaS / Enterprise Software,https://www.linkedin.com/in/crystal-yixuan-li-6a269b1a8,Daniel
Darwin Tu,Bon,Co-Founder,SaaS / Enterprise Software,https://www.linkedin.com/in/darwintu,Daniel
Stan Zmachynski,Informed.IQ,VP Finance,SaaS / Enterprise Software,https://www.linkedin.com/in/stanzmachynski,Daniel
Manasij Ganguli,ZapScale,Co-Founder & CEO,SaaS / Enterprise Software,https://www.linkedin.com/in/mganguli,Daniel
Bill Barry,IgniteGTM,Chief Executive Officer,SaaS / Marketing Technology,https://www.linkedin.com/in/billnbarry,Daniel
Siqi Lin,Instabug,Director, Demand Generation,SaaS / Mobile Tools,https://www.linkedin.com/in/siqilin,Daniel
Alex Leschinsky,effectiff,Founder and CEO,SaaS / Productivity,https://www.linkedin.com/in/alex-leschinsky,Daniel
Ksenia Isakova,Glide HQ,Co-Founder,SaaS / Productivity Tools,https://www.linkedin.com/in/ksenia-isakova,Daniel
Nick Velkovski,HeyReach,Co-Founder & CEO,SaaS / Sales Tech,https://www.linkedin.com/in/nikolavelkovski,Daniel
André Srinivasan,Tines,Principal Partner Solutions Engineer,SaaS / Security / Automation,https://www.linkedin.com/in/andresrinivasan,Daniel
Mikita Mikado,SE Ranking,Board Member,SaaS / SEO / Marketing Technology,https://www.linkedin.com/in/mikitamikado,Daniel
Anastasia Kalinkina,Sizl,Founder and COO,SaaS / Social Media,https://www.linkedin.com/in/akalinkina,Daniel
Sydney Levin,micro1,Head of Partnerships,SaaS / Technology,https://www.linkedin.com/in/sydney-levin,Daniel
Aftab Farooqi, Ph.D., MBA,ChipHub,Founder and CEO,Semiconductor / Tech,https://www.linkedin.com/in/aftab-farooqi-ph-d-mba-3038199,Daniel
Jon Seneger,Arm,Director, Product Management – Digital Twins,Semiconductor / Technology,https://www.linkedin.com/in/jonseneger,Daniel
Andrea Wester,Stena Bulk,Digital Transformation,Shipping / Logistics / Digital Innovation,https://www.linkedin.com/in/andrea-wester-b232a1194,Daniel
Fiona Macintyre,Founder & CEO,Forming Impact,Social Impact / Innovation,https://www.linkedin.com/in/fionamacintyre,Daniel
Louisa Li,Shanti House,Founder,Social Impact / Nonprofit,https://www.linkedin.com/in/louisalinyc,Daniel
Lucio Machetti,CIO,Terranova Software,Software,https://www.linkedin.com/in/lucio-machetti,Daniel
Jostein Aksnes,Seven Peaks Software,CEO & Co-Founder,Software / Enterprise SaaS,https://www.linkedin.com/in/josteina,Daniel
Teo Corriente Prieto,Head of Business Development,VLP Sports,Sports,https://www.linkedin.com/in/teo-corriente-prieto-a36649270,Daniel
Danielle Capalino,Co-Founder,Neta,Startup / Consumer Health,https://www.linkedin.com/in/danielle-flug-capalino,Daniel
Galanafai Windross,Co-Founder,Stealth Startup,Startup / Technology,https://www.linkedin.com/in/galanafai-windross-844247123,Daniel
Ulysses David,Founder & CEO,Starplot,Startup / Technology,https://www.linkedin.com/in/ulyssesdavid,Daniel
Jackson Figueiró,Stealth,Co-Founder & CRO,Stealth Startup,https://www.linkedin.com/in/jackson-figueiro,Daniel
Cian Duggan,Founder & CEO,Audr,Sustainability / Tech,https://www.linkedin.com/in/cian-duggan-2a671110,Daniel
Louis Hart-Davis,Co-Founder & CEO,Stratolia,Technology / Consulting,https://www.linkedin.com/in/louis-hart-davis,Daniel
Nate Berent-Spillson,SVP of Engineering,Launch by NTT DATA,Technology / Consulting,https://www.linkedin.com/in/natespillson,Daniel
Amanda Way,LSI,Global Program Director,Technology / Corporate Programs,https://www.linkedin.com/in/amandasway,Daniel
Demy Tang,Frore Systems,VP of Finance,Technology / Finance,https://www.linkedin.com/in/demy-tang,Daniel
Alexa Sinyachova,Moeco,Chief Executive Officer,Technology / IoT,https://www.linkedin.com/in/alexasinyachova,Daniel
JP Palacio,Kromeon,Chief Executive Officer,Technology / Media,https://www.linkedin.com/in/appdesign,Daniel
Alexander Gorlov,KickNote,Founder,Technology / Media,https://www.linkedin.com/in/alexandergorlov,Daniel
David Brun,Impulz,Co-Founder,Technology / Media,https://www.linkedin.com/in/dabrun,Daniel
Francisco Marin,Network-First Manifesto,Founding Member,Technology / Networking,https://www.linkedin.com/in/franciscomarinruz,Daniel
Stephane Louvrier,Chief Revenue & Strategy Officer,OKOSIX,Technology / SaaS,https://www.linkedin.com/in/stephanelouvrier,Daniel
Vienna Mott,Poliquicks,Chief Executive Officer,Technology / SaaS,https://www.linkedin.com/in/vienna-mott-502592100,Daniel
Eva Pope,Microsoft,Software Engineer,Technology / Software,https://www.linkedin.com/in/evapope,Daniel
Sergii Gorpynich,Star,Co-Founder and CTO,Technology / Software,https://www.linkedin.com/in/sergiigorpynich,Daniel
Robert Borges,Co-Founder / CEO,Stealth,Technology / Startup,https://www.linkedin.com/in/robertborges,Daniel
Alex Tatarinov,Stealth Startup,CEO,Technology / Startup,https://www.linkedin.com/in/tatarinov-alx,Daniel
Chandana M,Founder & CEO,Find Collab,Technology, AI & SaaS,https://www.linkedin.com/in/chandana-mandal,Daniel
Michael Dansey,Co-Founder,Talo AI,Technology, AI & SaaS,https://www.linkedin.com/in/michaeldansey,Daniel
Kevin Muto,Founder,TrueName,Technology, AI & SaaS,https://www.linkedin.com/in/kevin-muto,Daniel
Olivia Otsuki,Senior Instructional Designer,Apple,Technology, AI & SaaS,https://www.linkedin.com/in/oliviaotsuki,Daniel
Kirill Osipenko,Product Manager,Google,Technology, AI & SaaS,https://www.linkedin.com/in/kirill-osipenko,Daniel
Cameron Goldberg,GTM Engineer,Clay,Technology, AI & SaaS,https://www.linkedin.com/in/goldbergcameron,Daniel
Carlton Lindsay,Design Engineer,Futurity Systems,Technology, AI & SaaS,https://www.linkedin.com/in/carltonl,Daniel
Donggeun Chung,Product Manager,Leagues of Code,Technology, AI & SaaS,https://www.linkedin.com/in/donggeunchung,Daniel
Dmytro Shkabura,Software Engineer,INNOVERA.AI,Technology, AI & SaaS,https://www.linkedin.com/in/shkaburad,Daniel
Max Kitaygora,Advisor, Engineering and GTM,Valence AI,Technology, AI & SaaS,https://www.linkedin.com/in/max-kitaygora,Daniel
Mark Schulze,Chief Revenue Officer (CRO),Confidence Systems,Technology, AI & SaaS,https://www.linkedin.com/in/markschulze,Daniel
Darián López Utra,Full Stack Engineer,INNOVERA.AI,Technology, AI & SaaS,https://www.linkedin.com/in/darian-lopez-utra,Daniel
Salil Punalekar,Co-Founder,Stealth AI Startup,Technology, AI & SaaS,https://www.linkedin.com/in/salil-punalekar,Daniel
Rahul Tripathi,GVP and GM, ITSM BU,ServiceNow,Technology, AI & SaaS,https://www.linkedin.com/in/rahulintro,Daniel
Brandi Hardman,Director of Strategic Partnerships,Akkadian Labs,Technology, AI & SaaS,https://www.linkedin.com/in/brandi-mauricio,Daniel
Paul Marca,Advisor,Mentor126.ai,Technology, AI & SaaS,https://www.linkedin.com/in/paulmarca,Daniel
Michael Jeter,Director, Google Cloud Enterprise,Google,Technology, AI & SaaS,https://www.linkedin.com/in/michaelbjeter,Daniel
Frederieke Vroom,Global Partner Manager,Scrive,Technology, AI & SaaS,https://www.linkedin.com/in/frederieke-vroom-982b8a33,Daniel
Ken Morris,Managing Partner & CEO,Chordify, Inc.,Technology, AI & SaaS,https://www.linkedin.com/in/kenmorris,Daniel
Dušan Vuksanovic,CEO & Head of Swisscom Outpost,Swisscom Outpost Silicon Valley,Telecom / Corporate Innovation,https://www.linkedin.com/in/dusanvuksanovic,Daniel
Itamar Kunik,Founder & CEO,Monogoto,Telecom / IoT,https://www.linkedin.com/in/itamar-kunik,Daniel
Miri Keren,Business Development & Partnerships Senior Manager,Deutsche Telekom,Telecom / Technology,https://www.linkedin.com/in/miri-keren-8672722a,Daniel
Mallik Tatipamula,CTO, Ericsson Silicon Valley,Ericsson,Telecommunications,https://www.linkedin.com/in/mallik-tatipamula-7508113,Daniel
Sergey Plykin,Ooredoo Algerie,Chief Strategy Officer,Telecommunications,https://www.linkedin.com/in/sergeyplykin,Daniel
Lih Ren How,DTAC,Chief Marketing Officer,Telecommunications,https://www.linkedin.com/in/lihren,Daniel
Giorgi Gabinashvili,Silknet,Digital Marketing Intern,Telecommunications / Marketing,https://www.linkedin.com/in/giorgi-gabinashvili-gg,Daniel
Dimitriy Wolf,Dmitriy Wolf’s Center for Soft Skills Development,Founder,Training / Professional Development,https://www.linkedin.com/in/dimitriy-wolf,Daniel
Jachym Thor,TransPerfect,AM & BD Intern,Translation / Localization,https://www.linkedin.com/in/jachym-thor,Daniel
Larry King,Assistant Vice President,Enterprise Mobility,Transportation,https://www.linkedin.com/in/larry-king-453b7314,Daniel
Xinge Zhang,Iteris, Inc.,Sr. Signal Optimization Engineer,Transportation / Smart Infrastructure,https://www.linkedin.com/in/xinge-zhang-b26a4521a,Daniel
Nurken Rzaliyev,inDrive,Investment Director - Asia, Middle East & North Africa,Transportation / Venture Capital,https://www.linkedin.com/in/nurken-rzaliyev-39463233,Daniel
Mathieu Gillet,CitizenPlane,Head of Staff,Travel / SaaS,https://www.linkedin.com/in/gilletmathieu,Daniel
Shoba Viswanath,Plug and Play Tech Center,Mentor & Advisor to Startups,VC / Accelerator,https://www.linkedin.com/in/shoba-viswanath-ab5a8827,Daniel
Denis Shafranik,Co-Founder,Concentric,Venture Capital,https://www.linkedin.com/in/denisshafranik,Daniel
Dave Sorbara,Co-Founder,Reverb Venture Partners,Venture Capital,https://www.linkedin.com/in/dave-sorbara-84272b4,Daniel
Hanhan H,Managing Partner,Alpine Brook Capital,Venture Capital,https://www.linkedin.com/in/hanhan-h-35545a15,Daniel
Melissa Pegus,Partner,UpVentures Capital,Venture Capital,https://www.linkedin.com/in/melissapegus,Daniel
Andrea Barrica,Managing Partner,Mahway,Venture Capital,https://www.linkedin.com/in/abarrica,Daniel
Owen Willis,Founder & General Partner,Opal Ventures,Venture Capital,https://www.linkedin.com/in/johnowenwillis,Daniel
Joaquim Costa,Founder,Battlefield Capital,Venture Capital,https://www.linkedin.com/in/watcherjoaquim,Daniel
Eric Osiakwan,Managing Partner,Chanzo Capital,Venture Capital,https://www.linkedin.com/in/ericosiakwan,Daniel
Sergey Khusnetdinov,Managing Director,Ga^3in Ventures,Venture Capital,https://www.linkedin.com/in/husnetdinov,Daniel
AJ Thomas,Good Trouble Ventures,Founder & General Partner,Venture Capital,https://www.linkedin.com/in/chaospilot,Daniel
Chen Geng He,Dayone Capital,Co-Founder & Managing Partner,Venture Capital,https://www.linkedin.com/in/cghe,Daniel
Max Bukow,OM Impact Fund,Associate, Venture Capital Intern,Venture Capital,https://www.linkedin.com/in/maxbukow,Daniel
Sue Xu,Amino Capital,Managing Partner,Venture Capital,https://www.linkedin.com/in/suexu,Daniel
Ray Taylor,Carat Venture Partners,Managing Partner,Venture Capital,https://www.linkedin.com/in/wirelesshead,Daniel
Shin Chen,E14 Fund,Investor,Venture Capital,https://www.linkedin.com/in/ishinchen,Daniel
Jukka Alanen,Rebellion Ventures,Founder & Managing Partner,Venture Capital,https://www.linkedin.com/in/jukkaalanen,Daniel
Jean-Philippe ‘JP’ Persico,shuckerVC,Co-Founder and Managing Partner,Venture Capital,https://www.linkedin.com/in/jppersico,Daniel
Natalia Burina,Storm Ventures,Venture Partner,Venture Capital,https://www.linkedin.com/in/nataliaburina,Daniel
Olga Sokurova,Vibranium Venture Capital,Chief Operating Officer,Venture Capital,https://www.linkedin.com/in/olga-sokurova-0496836,Daniel
Eugene Malobrodsky,One Way Ventures,Managing Partner,Venture Capital,https://www.linkedin.com/in/afeugene,Daniel
Alex Freed,Wilya,Board Observer,Venture Capital / Advisory,https://www.linkedin.com/in/alexeyfreed,Daniel
Alex Mermod,Krexin,Advisor,Venture Capital / Advisory,https://www.linkedin.com/in/alexmermod,Daniel
James Cape,The Fusion Syndicate,Strategic Advisor / Board Member,Venture Capital / Advisory,https://www.linkedin.com/in/james-cape-692110,Daniel
Michael Schreibmann,Friday PM,Board Member,Venture Capital / Advisory,https://www.linkedin.com/in/mschreibmann,Daniel
Shariha Khanam Khalid,Mission & Co,Founding Partner,Venture Capital / Advisory,https://www.linkedin.com/in/shariha-khanam-khalid-848b5816,Daniel
Piyush Malik,PiyushVentures,Founder,Venture Capital / Angel Investing,https://www.linkedin.com/in/malikpiyush,Daniel
Mitchell Weinstock,HP Tech Ventures,Venture Partner,Venture Capital / Corporate VC,https://www.linkedin.com/in/mitchellweinstock,Daniel
Halyna Vasylevska,Sector Lead - Cybersecurity Portfolio Development,Munich Re Ventures,Venture Capital / Cybersecurity,https://www.linkedin.com/in/halynavasylevska,Daniel
Tomás Rauch,Investment Professional,TechEnergy Ventures,Venture Capital / Energy,https://www.linkedin.com/in/rauchtomas,Daniel
Viktoriia Stepanenko,Network VC,Partner Relations / Event Director,Venture Capital / Event Management,https://www.linkedin.com/in/versilus,Daniel
Ye Wang,SAIC Capital,Principal - Mobility, Deep Tech, Climate Tech,Venture Capital / Mobility / ClimateTech,https://www.linkedin.com/in/ye-wang-95653137,Daniel
Daniel Ma,Trimer Capital,Partner,Venture Capital / Private Equity,https://www.linkedin.com/in/ma-daniel,Daniel
Zoe van den Bol,Alpha Partners,Investor,Venture Capital / Private Equity,https://www.linkedin.com/in/zoevandenbol,Daniel
David Golden,Revolution,Partner,Venture Capital / Private Equity,https://www.linkedin.com/in/david-golden-128b2020,Daniel
Tina Watters,Private Equity,Investment Manager,Venture Capital / Private Equity,https://www.linkedin.com/in/tinawatters,Daniel
Paul Ratner,Marble Bridge Funding Group,Vice President of Sales,Venture Capital / Private Equity,https://www.linkedin.com/in/paratner,Daniel
Vagan Kazaryan,Glocal.Capital,Founder,Venture Capital / Private Equity,https://www.linkedin.com/in/vagan-kazaryan-a42a0330,Daniel
Firth Griffith,MissionBlue Capital,Managing Partner,Venture Capital / Private Equity,https://www.linkedin.com/in/firth-griffith,Daniel
Jason Miles, CAIA,Amenti Capital Partners,Managing Partner,Venture Capital / Private Equity,https://www.linkedin.com/in/jprmiles,Daniel
Theresa Yu,Global Bridge Capital,Managing Director,Venture Capital / Private Equity,https://www.linkedin.com/in/theresa-yu-72960a,Daniel
Serhat Pala,NuFund Venture Group,President,Venture Capital / Private Equity,https://www.linkedin.com/in/serhatpala,Daniel
Robert Marcus,ALPHA10X,CEO,Venture Capital / Private Equity,https://www.linkedin.com/in/rhmarcus,Daniel
Megan Thorp, MBA,IEQ Capital,Senior Director,Venture Capital / Private Equity,https://www.linkedin.com/in/megan-thorp,Daniel
Josh Broward,Wisdom Partners,CEO and Co-Founder,Venture Capital / Private Equity,https://www.linkedin.com/in/joshbroward,Daniel
Justin Zeefe,Green Flag Ventures,Founding Partner,Venture Capital / Private Equity,https://www.linkedin.com/in/zeefe,Daniel
Mark Pavlyukovskyy,NZVC,Partner,Venture Capital / Private Equity,https://www.linkedin.com/in/pavlyukovskyy,Daniel
Ti Zhao,Pack Ventures,Partner,Venture Capital / Private Equity,https://www.linkedin.com/in/tizhao,Daniel
Hermann Schindler, Ph.D.,Scalator Ventures Inc.,CEO,Venture Capital / Private Equity,https://www.linkedin.com/in/hermann-schindler,Daniel
Mohanjit Jolly,Iron Pillar,Partner,Venture Capital / Private Equity,https://www.linkedin.com/in/mjolly,Daniel
Daria Kuk,The Ventures,Founder,Venture Capital / Startup Studio,https://www.linkedin.com/in/dariakuk,Daniel
Nikhil Sinha,OneValley,CEO,Venture Capital / Technology,https://www.linkedin.com/in/nikhilsinha,Daniel
Pasquale Zaccarella,Shareholder,Eden Venture,Venture Capital, Finance & Investment,https://www.linkedin.com/in/pasquale-zaccarella-zac,Daniel
Irakli Kashibadze,Managing Partner,Future Laboratory Ventures,Venture Capital, Finance & Investment,https://www.linkedin.com/in/irakli-kashibadze-573a1313,Daniel
Sitesh Shrivastava,Co-Founder,Offbeat Capital,Venture Capital, Finance & Investment,https://www.linkedin.com/in/siteshshrivastava,Daniel
Max Morgunov CFA,Chief Investment Officer,Oceanic Partners,Venture Capital, Finance & Investment,https://www.linkedin.com/in/max-morgunov-cfa-699746,Daniel
Aliaksandr Sasha Hudzilin,Angel Investor,(Self-employed),Venture Capital, Finance & Investment,https://www.linkedin.com/in/aliaksandrhudzilin,Daniel
Joe (Zhou) Sha,Angel Investor and Advisor,(Self-employed),Venture Capital, Finance & Investment,https://www.linkedin.com/in/joesha,Daniel
Alexey Dubov,Founding Partner,BuildTech VC,Venture Capital, Finance & Investment,https://www.linkedin.com/in/alekseydubov,Daniel
Abid Malik,Managing Director,Indus Venture,Venture Capital, Finance & Investment,https://www.linkedin.com/in/mabidmalik,Daniel
Davi La Ferla,Angel Investor,La Ferla Ventures,Venture Capital, Finance & Investment,https://www.linkedin.com/in/davilaferla,Daniel
Preethy Padmanabhan,Executive in Residence/CMO,Emergent Ventures,Venture Capital, Finance & Investment,https://www.linkedin.com/in/preepadu,Daniel
Rita Patel,Financial Services Professional,NYLIFE Securities LLC,Venture Capital, Finance & Investment,https://www.linkedin.com/in/rita-patel-2021,Daniel
Dhruv Pais,Analyst,Blue Whale Ventures,Venture Capital, Finance & Investment,https://www.linkedin.com/in/dhruvpais,Daniel
Jeni C.,Managing Director,Founder Institute,Venture Capital, Finance & Investment,https://www.linkedin.com/in/changjeni,Daniel
Andrey Anishchenko,Venture Partner,Emerge Education,Venture Capital, Finance & Investment,https://www.linkedin.com/in/andrey-anishchenko-b6784613,Daniel
